Transaction ID,Store Name,Customer ID,Customer Age,Product ID,Product Category,Transaction Date,Payment Method,Shipping Address,City,Country,Coupon Used,Quantity Sold,Unit Price,Total Price,Discount Applied,Net Price
99673,Urban Goods,1870,63,129,Clothing,2024-03-28,Credit Card,67948 Paul Highway,Hortonberg,Nicaragua,SPRING10,4,45,180,18,162
85713,Basic Depot,1394,29,190,Clothing,2024-04-10,PayPal,6853 Christopher Walks,North Anthony,Pakistan,SUMMER20,4,70,280,56,224
50484,Essential Mart,6311,49,121,Books,2024-03-30,PayPal,451 Elizabeth Well Suite 140,Zamoraport,Uganda,SUMMER20,5,165,825,165,660
68055,Essential Mart,9951,55,118,Electronics,2024-04-18,PayPal,18742 Jordan Neck Apt. 702,Susanchester,Jamaica,SUMMER20,3,102,306,61,245
67413,Urban Goods,9308,46,185,Home & Garden,2024-04-10,Credit Card,32926 Davis Lock Suite 430,Lake Bruce,Latvia,SPRING10,3,185,555,56,499
14266,Basic Depot,4042,28,169,Clothing,2024-04-21,PayPal,653 Shaun Mountains,Greenmouth,Uruguay,FALL15,3,198,594,89,505
87845,Basic Depot,7304,23,143,Electronics,2024-04-22,Credit Card,438 Garrett Road,New Mike,Jamaica,SPRING10,2,199,398,40,358
34432,Basic Depot,7821,22,166,Electronics,2024-04-03,PayPal,5467 Angel Flat,Dixonland,Chad,SUMMER20,1,58,58,12,46
74882,Basic Depot,3040,22,190,Books,2024-04-08,PayPal,7852 Warren Drive,South Michelle,Liechtenstein,FALL15,5,41,205,31,174
34474,Urban Goods,1881,62,192,Electronics,2024-04-16,Credit Card,39162 Jill Passage,West Andrew,Azerbaijan,SUMMER20,4,45,180,36,144
32142,Urban Goods,6004,26,114,Electronics,2024-04-17,PayPal,777 Rachel Dam Suite 963,Brianport,Andorra,FALL15,2,110,220,33,187
92468,Pure Market,2958,39,139,Home & Garden,2024-04-15,PayPal,063 Zachary Unions Apt. 329,East Lauren,India,SUMMER20,5,148,740,148,592
35854,Pure Market,6677,59,160,Clothing,2024-04-25,PayPal,084 Cervantes Island Suite 147,Lake Sara,Lebanon,SUMMER20,2,41,82,16,66
62822,Urban Goods,8741,29,133,Clothing,2024-04-05,Credit Card,48564 Kelly Via Suite 783,East Lisa,Antarctica (the territory South of 60 deg S),None,4,53,212,0,212
90848,Pure Market,5629,58,105,Books,2024-04-19,PayPal,48505 Lawson Street,West Stephaniemouth,Japan,SUMMER20,2,164,328,66,262
21002,Pure Market,8110,53,189,Books,2024-04-23,Credit Card,044 Ryan Fords,Hallville,Togo,SPRING10,1,108,108,11,97
11093,Essential Mart,3051,39,115,Clothing,2024-03-29,PayPal,2316 Cook Heights Apt. 443,East Elizabeth,Argentina,SPRING10,3,95,285,28,257
25885,Essential Mart,9340,31,187,Books,2024-04-09,PayPal,8234 George Parks,Paulfort,Slovenia,None,4,188,752,0,752
20125,Urban Goods,2391,50,153,Clothing,2024-03-28,PayPal,6941 Harris Forges Suite 296,Bryantfort,Australia,None,1,185,185,0,185
22338,Basic Depot,1612,55,199,Books,2024-04-01,Credit Card,8256 Wallace Streets,Lindseyshire,Cote d'Ivoire,FALL15,5,120,600,90,510
78737,Urban Goods,4461,34,156,Books,2024-04-07,PayPal,60069 Rachel View,New Matthewborough,Syrian Arab Republic,SUMMER20,1,62,62,12,50
66260,Urban Goods,2749,43,131,Home & Garden,2024-04-17,PayPal,6714 Jackson Port,Teresaburgh,South Africa,None,3,88,264,0,264
28863,Basic Depot,2970,33,155,Clothing,2024-04-22,Credit Card,37302 James Road,Lake Charles,China,SPRING10,3,65,195,20,175
50212,Basic Depot,1471,30,117,Clothing,2024-03-28,PayPal,4604 Donald Creek,Amandaburgh,Gabon,FALL15,2,129,258,39,219
67564,Pure Market,5953,27,160,Clothing,2024-03-30,Credit Card,5902 Joseph Ferry,North Edwinbury,Albania,None,3,197,591,0,591
